,index,Date,Open,High,Low,Close,Volume,Change
372,5543,2022-07-06,57300,57300,56400,56400,16820461,-0.013986013986013957
373,5544,2022-07-07,56400,58700,56300,58200,21322833,0.03191489361702127
374,5545,2022-07-08,58600,59300,58200,58700,15339271,0.00859106529209619
375,5546,2022-07-11,59300,59600,58700,58800,13042624,0.0017035775127767216
376,5547,2022-07-12,58600,58700,58100,58100,9336061,-0.011904761904761862
377,5548,2022-07-13,58300,58600,58000,58000,10841315,-0.0017211703958691649
378,5549,2022-07-14,57500,58200,57400,57500,15067012,-0.008620689655172376
379,5550,2022-07-15,58400,60000,58100,60000,18685583,0.04347826086956519
380,5551,2022-07-18,60600,62000,60500,61900,20832517,0.03166666666666673
381,5552,2022-07-19,61400,61500,60200,60900,15248261,-0.016155088852988664
382,5553,2022-07-20,61800,62100,60500,60500,16782238,-0.006568144499178974
383,5554,2022-07-21,61100,61900,60700,61800,12291374,0.02148760330578514
384,5555,2022-07-22,61800,62200,61200,61300,10261310,-0.008090614886731351
385,5556,2022-07-25,60900,61900,60800,61100,9193681,-0.0032626427406199365
386,5557,2022-07-26,60800,61900,60800,61700,6597211,0.009819967266775809
387,5558,2022-07-27,61300,61900,61200,61800,7320997,0.0016207455429497752
388,5559,2022-07-28,62300,62600,61600,61900,10745302,0.0016181229773462036
389,5560,2022-07-29,62400,62600,61300,61400,15093120,-0.008077544426494332
390,5561,2022-08-01,61000,61700,60300,61300,13154816,-0.0016286644951140072
391,5562,2022-08-02,61200,61900,61000,61700,13614895,0.006525285481239873
392,5563,2022-08-03,61600,61600,61000,61300,10053861,-0.00648298217179899
393,5564,2022-08-04,61700,61800,61200,61500,9125439,0.0032626427406199365
394,5565,2022-08-05,61700,61900,61200,61500,9567620,0.0
395,5566,2022-08-08,61400,61400,60600,60800,11313150,-0.011382113821138184
396,5567,2022-08-09,60600,60700,59600,60000,18251170,-0.013157894736842146
397,5568,2022-08-10,58900,59200,58600,59100,18084349,-0.015000000000000013
398,5569,2022-08-11,59600,60000,59300,59900,15141941,0.013536379018612488
399,5570,2022-08-12,59500,60700,59400,60200,10786658,0.005008347245408995
400,5571,2022-08-16,60500,61600,60300,61000,15036727,0.013289036544850585
401,5572,2022-08-17,61100,61200,60300,60400,9061518,-0.00983606557377048
402,5573,2022-08-18,60300,61900,60000,61500,16372754,0.01821192052980125
403,5574,2022-08-19,61400,61600,60600,60900,6923679,-0.009756097560975618
404,5575,2022-08-22,60300,60400,59800,60000,8259865,-0.014778325123152691
405,5576,2022-08-23,59000,59600,59000,59100,9041629,-0.015000000000000013
406,5577,2022-08-24,59200,59500,59000,59000,8888486,-0.0016920473773265332
407,5578,2022-08-25,59200,59700,59000,59700,5767902,0.011864406779660941
408,5579,2022-08-26,60300,60900,59900,60000,9499995,0.005025125628140614
409,5580,2022-08-29,58700,58900,58600,58600,9841329,-0.023333333333333317
410,5581,2022-08-30,58700,59000,58300,58800,9690044,0.0034129692832765013
411,5582,2022-08-31,58200,59900,58200,59700,14203512,0.015306122448979664
412,5583,2022-09-01,58700,58900,58300,58400,14905777,-0.021775544388609736
413,5584,2022-09-02,58300,58600,57500,57500,15040310,-0.015410958904109595
414,5585,2022-09-05,57400,57800,56800,57100,11425977,-0.006956521739130417
415,5586,2022-09-06,57200,57600,56900,57100,7503086,0.0
416,5587,2022-09-07,56700,56700,55900,56000,17384854,-0.019264448336252182
417,5588,2022-09-08,56200,56400,55600,55600,18000016,-0.0071428571428571175
418,5589,2022-09-13,57000,58500,56800,58100,17166581,0.04496402877697836
419,5590,2022-09-14,56200,57200,56100,56800,12524961,-0.022375215146299476
420,5591,2022-09-15,57000,57100,56000,56000,11664819,-0.014084507042253502
421,5592,2022-09-16,55600,56400,55500,56200,13456503,0.0035714285714285587
422,5593,2022-09-19,56300,57000,56000,56400,12278653,0.003558718861210064
423,5594,2022-09-20,56400,57000,55800,55800,14041465,-0.010638297872340385
424,5595,2022-09-21,55400,55500,55000,55300,11863700,-0.008960573476702538
425,5596,2022-09-22,54600,54700,54300,54400,12786510,-0.016274864376130238
